,Unnamed: 0,statement,choice,choices
255,255, Salt quenches thirst. ,B,"A. Salt is a common condiment
B. Salt makes you thirsty.
C. Salt water can be used to disinfect"
256,256, I tied my shoelaces with my shoulders ,C,"A. shoulders don't usually have hands while hands don't usually have shoulders
B. shoulders cannot tie a shoelace
C. your shoulders cannot grab shoelaces to tie"
257,257, Something you find in a desk is tigers. ,A,"A. Tigers are larger than desks.
B. Tigers have striped fur while desks not.
C. Tigers eat other animals while desks are wood."
258,258, He went to a lawyer to cure his sickness ,B,"A. His lawyer is suffering from sickness
B. A lawyer hasn't been trained in medical science
C. A lawyer cured himself with medicine"
259,259, The bottle drunk out of the baby. ,C,"A. The baby need to drink water.
B. The bottle can carry water.
C. The bottle is an object and hasn't lived."
260,260, Most kangaroos run on gasoline ,A,"A. Kangaroos are live animals that can move by themselves
B. Kangaroos are not native to Germany
C. Kangaroos put their child in belly pocket"
261,261, Swimming is a common winter activity ,A,"A. Most people do not swim during the winter
B. Some people think that Swimming is not an activity but a way of life
C. No one engages in any activities during winter"
262,262, the man took his door to the dry cleaner ,B,"A. the dry cleaner has a front door and a back door
B. the dry cleaner doesn't receive anything other than clothes
C. the dry cleaner can make the dirty clothes clean"
263,263, The stove walk to the fire ,A,"A. A stove is inanimate
B. The stove is a place to make fire
C. A stove is a thing that people cook on"
264,264, the cow eats the bike ,B,"A. bikes have 2 wheels and cows have 4 legs
B. bikes are inedible for cows
C. cows are black and white"
265,265, all watermelons have seeds ,A,"A. some watermelons are seedless
B. few people like eating watermelon seeds
C. watermelon can be grown from seeds"
266,266, Schools often have operation theater ,A,"A. Operation theaters are found only in hospitals
B. All theaters are not operation theaters
C. You will find knives in any operation theater"
267,267, She put water in a cage ,B,"A. after drinking water, he went to buy a cage
B. water will flow through the cage
C. a wage is solid while the water is liquid"
268,268, Cars stop at a green light. ,A,"A. A green light means to pass
B. Traffic lights direct traffic.
C. Stoplights have red, yellow, and green lights."
269,269, A cat dropped from a plane wearing a parachute will land on the tip of its' tail. ,A,"A. A cat's body can't be balanced on the tip of its' tail.
B. A cat may have orange fur on its tail.
C. A cat can climb trees using its tail."
270,270, He runs his heater when it's hot outside ,B,"A. A heater is cheap in hot weather
B. heaters are used for cold weather
C. There are different brands of heaters you can have in your home"
271,271, Sweating is a body mechanism to look cool ,B,"A. Sweat taste salty
B. Sweating is to keep the body temperature down
C. Sweat can make you feel dirty"
272,272, every person take stones for breakfast ,C,"A. stones are heavier than many foods
B. there are many stones In the world
C. nobody eats stones"
273,273, I put bricks into the washing machine. ,A,"A. The washing machine will be broken if you put bricks into
B. Bricks are normally red and washing machines are normally white.
C. A brick cannot clean a washing machine."
274,274, Jimmy got his leg bitten off by a kitten ,A,"A. a kitten's teeth are not that sharp
B. kittens are fluffy
C. a kitten likes to drink milk"
275,275, the Internet will disperse people ,B,"A. the Internet will not block you when using it
B. Internet equip distant people to make the communication easily
C. Some people hate Internet and will not use it"
276,276, She put a building in the bucket. ,C,"A. Buildings are of walls and plastic buckets.
B. there are a lot buckets in the building
C. A building is much larger than a bucket."
277,277, Video game consoles can be seen without contact lenses only ,A,"A. whether wearing lenses or not video game consoles can be seen.
B. Video game consoles are more expensive than contact lenses
C. whether wearing lenses or not consoles press are hard like mouse clicks."
278,278, I talked to my friend in the bark. ,A,"A. Bark is either a tree's covering or the sound of a dog.
B. Barking trees in the park.
C. A barking dog is next to a tree."
279,279, he turned the table on ,B,"A. tables are made of wood
B. there is no switch on the table
C. he can't touch the table"
280,280, he installed the carpet on the lake ,B,"A. the lake calm like a pinned the carpet
B. The carpet will absorb water and sink
C. the carpet is smaller than the lake"
281,281, She erased a campfire with an eraser. ,A,"A. A campfire would burn an eraser.
B. A campfire is hot while an eraser is made of rubber.
C. A campfire is hotter than an eraser."
282,282, The rotary phone recorded me. ,A,"A. Rotary phones don't have cameras.
B. Rotary phones and cell phones are both phones.
C. A rotary phone is expensive."
283,283, I live 100 miles from Saturn. ,C,"A. Humans rarely think about how far they are from a planet.
B. Saturn is huge
C. Saturn is 745,645,431 miles from Earth."
284,284, He pet his pterodactyl gently ,A,"A. Pterodactyls have been extinct for thousands of years
B. Pterodactyls are bigger than human
C. Pterodactyls can fly"
285,285," If it's dark,  I must put the light off. ",C,"A. the light is so weak,  and the room is still dark
B. Light can be created by a lamp or the sun.
C. people turn on the light in dark"
286,286, she baked a horse at Christmas ,C,"A. People can ride a horse at Christmas
B. There are no relationships between horse and Christmas
C. there are no traditions to bake a horse at Christmas"
287,287, bananas are addicted to my husband ,C,"A. Bananas can not swim with my husband
B. Bananas are healthy in moderation but will raise the blood sugar if over consumed.
C. bananas are fruits and do not have awareness"
288,288, I walk without moving ,B,"A. people move their hands when they walk
B. you move when you're walking
C. you can move without walking"
289,289, Mammals include alligators ,A,"A. Alligators are not mammals, they're reptiles
B. Giraffes and alligators are animals
C. Alligators can be very aggressive"
290,290, Mathematicians can play football very well ,A,"A. Football players can play football very well
B. Some mathematicians like to play football
C. Football is a popular sport"
291,291, She can make the rainfall. ,C,"A. Rain can be created by a man with special powers.
B. she made a cake when rain falls
C. No human can control the rainfall."
292,292, Observatories are located at the bottom of the ocean. ,A,"A. If observatories are at the bottom of the ocean, they can see nothing in space
B. There is a bottle of ocean water in the observatory.
C. The bottom of the ocean are as dark as space"
293,293, She put a stove on the plate. ,C,"A. people can buy stove and plates in the supermarket
B. plates are usually white will gloves are usually grey
C. A stove is much larger than a plate."
294,294, smoking will cherish your health ,A,"A. smoking does nothing good for our health
B. there are millions of people who smoke
C. some people think that smoking can prevent the virus"
295,295, If I want ride a motorcycle I needn't wear the helmet. ,B,"A. The helmet is ugly.
B. The helmet it's obligatory from law and can protect you.
C. I like riding motorcycle."
296,296, The human is the fastest mammal on the planet ,C,"A. Humans are too lazy to run across the planet
B. Humans are not mammal enough to go that fast
C. Humans are relatively slow creatures compared to most mammals"
297,297, The robot felt sad ,A,"A. Robots do not have feelings, and therefore, cannot feel sad
B. Robots are programmed
C. Robots are made of machinery"
298,298, Babies are unaware of their surroundings and reap no harm from the negativity around them. ,B,"A. Babies are born, most commonly, without teeth and rely on their mother's breast milk for nutrients.
B. Babies are compared to ""little sponges"" and can pick up on emotions of their loved ones.
C. Babies are unable to hold their heads up on their own until roughly three to four weeks."
299,299, The 3-day old newborn baby walked to the car. ,B,"A. Newborn babies can only walk to cars when they are old enough
B. It is impossible for 3 days old newborn babies to walk.
C. 3-day old newborn babies are not able to skip to cars."
300,300, There is peace during war ,C,"A. war is not a solution
B. unacceptable solution leads to war
C. peace is after a solution is finalized after war"
301,301, Ice is a highly concentrated form of nutrition. ,B,"A. On a hot day put ice cubes in your glass of water.
B. Ice is nothing but H2O.
C. Global warming is melting the ice in the Arctic, raising the level of water in the oceans."
302,302, the smartphone is a device used for transportation ,A,"A. people usually use automobiles for transportation
B. transportation is very convenient at present
C. nowadays most people have their own smartphone"
303,303, a banana contains more water than a watermelon ,C,"A. both watermelons and bananas are delicious
B. a watermelon usually is bigger than a banana
C. a watermelon usually has higher moisture content than a banana"
304,304, She fell up the stairs and broke her knee ,C,"A. Knees are the most resilient part of the human body
B. Stairs have built-in safeguards to prevent falling up them
C. You cannot fall upstairs because of gravity"
305,305, I got ready for bed so I drank a cup of coffee ,C,"A. coffee usually tastes a little bitter
B. I don't like drinking coffee
C. coffee usually makes people awake"
306,306, the man fed the mouse a snake ,B,"A. snakes are longer than mice
B. a mouse can't eat a snake
C. snakes have a different color with mice"
307,307, A neighbor is a person who lives far from you ,C,"A. His neighbor moved to a faraway city
B. his neighbor's daughter lives far away from him
C. people live near to each other are called neighbor"
308,308, the pharmacy sell pets ,A,"A. the pharmacy is for medicines
B. the pharmacy is smaller than a pet store
C. the pharmacy is near a pet store"
309,309, The sky is orange ,C,"A. The sky is white if it's cloudy
B. Humans cannot fly in the sky
C. The sky won't appear orange"
310,310, my brother waters his phone every morning ,C,"A. his phone is waterproof
B. the phone is already charged
C. watering a phone may damage it"
311,311, she drives the public bus to school ,A,"A. only a citified bus driver can drive a bus
B. the public bus are always cheaper than other commuting methods
C. School buses have a different color from the public bus"
312,312, the driver accelerates when seeing the red signal ,B,"A. traffic lights are positioned above the roads
B. the red traffic light indicates that the driver should stop
C. semafaro has 3 green, yellow and red lights"
313,313, the snake runs on his feet ,C,"A. crawling is easier for the snake to follow his victim
B. crawling is faster than running
C. snakes have no feet to run and can only crawl"
314,314, the moon is falling from the sky ,C,"A. People can get on the moon now
B. Falling speed is slow in the moon
C. The moon orbits around the earth"
315,315," if you don't brush your teeth, you get dark ",A,"A. the color of your skin has nothing to do with brushing teeth
B. people use toothpaste and toothbrush to clean teeth
C. usually people brush teeth twice a day"
316,316, my sister flies to work today ,A,"A. nobody can fly
B. my sister wants to fly
C. birds fly in the sky"
317,317, Eating pizza requires a masters degree ,C,"A. a master is eating a pizza
B. Pizza is Italians food
C. You don't need qualification to eat food"
318,318, He put a gorilla into a box ,B,"A. a gorilla is usually black while a box is usually brown
B. a gorilla is much bigger than a box
C. gorilla cannot eat a box"
319,319, My son had us write an essay on The National Monument. ,B,"A. My son can write the alphabet instead of teach how to write an essay.
B. My son isn't smart enough to assign an essay.
C. My son cannot read and write an essay."
320,320, Artificial flowers in my flower vase wilts soon ,A,"A. As artificial flowers has no life, it will never wilt
B. Few artificial flowers looks exactly like real flowers
C. Artificial flowers does not grow in a plant like real flowers"
321,321, I play games on my shoes ,B,"A. your shoes are old
B. There are no games on shoes
C. Your shoes need to be updated"
322,322, He walked a rock in the park ,B,"A. rocks are usually too heavy to walk on a leash
B. A dog must have legs to be walked on a leash
C. rocks prefer to be carried instead of walking"
323,323, A cat eats a building ,C,"A. A cat is smaller than. A building
B. A cat is alive, while a building is not
C. A building is made of bricks and can not eat buy cats"
324,324, grass grows in the water ,B,"A. Grass also needs water to grow up
B. grass needs to grow on the ground to absorb nutrition from the soil
C. There are some grasses growing near to the water"
325,325, the store is for learning ,A,"A. the store is for shopping
B. I don't like the store
C. I work at the store"
326,326, she cooked mosquitos and ants for dinner ,C,"A. mosquitos and ants both are insects
B. there are many mosquitos and ants in the earth
C. few people eat mosquitos and ants"
327,327," At the restaurant, police came for taking orders ",C,"A. Jhone usually sees police while walking to the restaurant
B. Police is the person who came for help at an emergency
C. Usually waiter is the person who takes an order at the restaurant"
328,328, dogs are social animals who prefer a solitary existence to live in a pack ,B,"A. dogs like to run after the moving objects
B. dogs prefer interacting with others and do not cope well alone
C. some dogs chase their own tails when they feel lonely"
329,329, milk like a baby ,C,"A. every baby drink milk
B. milk producer is a cow
C. milk is not a human or animal"
330,330, you are able to use a brick as a bookmark ,A,"A. a brick is too large an object to fit in a book and allow it to fully close
B. using a bookmark contributes to review questions before each reading session
C. people use bricks as a building or paving material"
331,331, The man is a rubber ,C,"A. The man does not like rubber
B. Rubber is not resilient
C. A man cannot be made of rubber"
332,332, Jill received a bill from the moon ,C,"A. she wants to send the bill to the moon
B. the moon is larger than a bill
C. there is no company on the moon"
333,333, You can sell a baby on Facebook ,C,"A. People can sell baby essentials on the Internet
B. Children are afraid of being sealed
C. Selling babies is illegal everywhere"
334,334, we can touch the rainbows ,B,"A. a rainbow usually has seven colors and looks beautiful
B. a rainbow is a phenomenon of light refraction, which is unbodied
C. a rainbow usually appears after the rain"
335,335," if it doesn't rain for a long time, the earth will get very wet ",B,"A. rain comes from dark clouds
B. earth won't get wet if there is no rain
C. if it rains, take an umbrella with you when you go out"
336,336, The dog hates his hoster ,A,"A. Dogs are royalty to their hosters
B. Man speaks and dog barks.
C. The Dog is a smart animal so does the man."
337,337, I hide successfully behind a book ,A,"A. People is usually much. Larger than a book
B. People like to read books
C. He hides behind the bookcase"
338,338, You can send the book by email ,B,"A. Books are great gifts
B. You cannot send a book by email
C. Sending emails needs internet service"
339,339, The dog yelled at the man. ,A,"A. the dog only can bark at a man.
B. The man don't like the dog.
C. The dog like to eat bones."
340,340, An x-ray can be used to see people without clothes. ,B,"A. Nurses work in hospitals to operate the x-ray machine.
B. X-rays use a special infrared light to scan bones.
C. X-ray machines don't work without electricity."
341,341, He drives cupboard well ,C,"A. Bike has a wheel, which is circular in shape
B. she drives his bike to buy a cupboard
C. Cupboard cannot be driven, but bikes can"
342,342, Tacos was Johnny's favorite drink ,B,"A. Tacos get you too drunk
B. tacos are food not drink
C. Drinking too many tacos makes you have to urinate"
343,343, He ties his socks before leaving for his flight ,A,"A. Socks do not need to be tied
B. Leaving for a flight on time is important
C. Socks have different patterns on them"
344,344, She shaved her eyes. ,A,"A. Eyes don't have hair.
B. People should keep their eyes clean
C. Not everyone likes shaving"
345,345, The snake ate the elephant. ,C,"A. Elephants walk on four legs while snakes crawl.
B. Elephants have four legs, but snakes don't have legs
C. The elephant is much bigger than the snake"
346,346, Ocean water runs into the river ,C,"A. River is more vast to contain all the ocean water.
B. Ocean never like the river and so it's water does not go to the river.
C. Ocean water never returns to the river."
347,347," Sean is a hard-working guy, so he plays phone games the whole day ",A,"A. hard-working' means he pay times on serious things
B. hard-working' means he takes time for pressure
C. even if 'hard-working' guys also enjoy playing cell phone for some time"
348,348, A notebook can work with being plugged in ,A,"A. the notebook doesn't need electricity to operate
B. a notebook can be used to take notes
C. a notebook is usually smaller than a house"
349,349, Walking is faster than driving ,A,"A. The speed of walking is about 3km/h while driving is 60km/h
B. He wants to buy a car for driving to get rid of walking
C. Driving is more dangerous than walking"
350,350, The man went to jail after eating candy. ,A,"A. It's not illegal to eat candy.
B. The man is eating candy in a jail
C. Criminals go to jail for their sentences."
351,351, I am throwing hello ,A,"A. Hello is a word that you can express by speaking
B. Hello is an English word
C. he said hello and threw the ball"
352,352, There was a boy with glasses flying on a broomstick. ,C,"A. Boys with glasses don't fly on a broomstick.
B. Usually, boys don't fly on brooms.
C. Boys don't fly on brooms."
353,353, A tiger is wearing pants. ,C,"A. Man can be attacked by a tiger
B. A man cannot eat pants
C. Tigers don't wear pants like men"
354,354, he had a toothache so he went to a car salesman ,A,"A. a car salesman is unhelpful for toothache
B. a car salesman works with cars
C. a car salesman has a toothache"
355,355, The air is tasty ,C,"A. air is flavored
B. juice usually has color, and air usually is transparent
C. air has no taste, but juice has"
356,356, fire can burn without oxygen ,B,"A. fire is usually red but oxygen has no color
B. oxygen is necessary for combustion
C. carbon reacts with oxygen to create carbon dioxide"
357,357, All frogs can fly in the sky just like birds. ,B,"A. A bird can be bigger than a frog.
B. Most frogs don't have wings to fly.
C. Birds like making a nest in the trees."
358,358, I saw my friend's car dancing ,C,"A. my friend and I will go dancing tomorrow by his car
B. my friend drives a red-colored car and I am dancing
C. A car is inanimate and it can not dance"
359,359, you can post the letter without any stamps ,B,"A. some people like to collect stamps on letters
B. letters need stamps to be sent correctly
C. the post office is in charge of posting letters"
360,360, my sister went to the desert to fetch water ,A,"A. the desert is arid and there is little water
B. people will die in the desert without water
C. camels in the desert have water in their humps"
361,361, The book returned the girl to the library. ,C,"A. Libraries sometimes have book readings.
B. Books can be fiction or non-fiction.
C. A book is an inanimate object."
362,362, I have two necks. ,B,"A. Necks are visible on people.
B. A person only has one neck.
C. Necks are not internal organs."
363,363, American Football balls are round. ,B,"A. You can play soccer and football using your shoulders.
B. American Football balls are not round. They have a prolate spheroid shape.
C. Soccer and American Football balls are not military weapons."
364,364, salsa is blue ,A,"A. salsa is made from tomatoes and tomatoes are red
B. salsa has onions in it
C. salsa has cilantro in it"
365,365, He buys a new tv every day ,B,"A. He buys appliances through the tv ad
B. People do not need too much tv to watch
C. He never watches TV"
366,366, Birds make nest everyday in bedroom closets. ,A,"A. Bird's make nest in trees, outside.
B. Bedroom closet is a kind of furniture.
C. Birds make nest for their babies."
367,367, Snowmobiles wear snowsuits to stay warm in the wintertime. ,B,"A. Snowmobiles can be driven in rainy conditions.
B. Snowmobiles do not wear clothes.
C. Snowsuits can be used all year."
368,368, Something that might happen while bathing is your shirt becomes wet. ,B,"A. Water becomes hot when we boil it
B. While bathing we will removes our clothes including shirts
C. Hot water can be used for bathing"
369,369, My boat hauls my truck. ,B,"A. The equipment in my truck is usually used in a boat.
B. Boats don't haul trucks, for it is in water
C. My boat equipment is molded, and my truck just died."
370,370, A hole will make a boat float ,C,"A. It is dangerous when a boat has a hole
B. No one wants to see a hole in their boats
C. A hole will make water fill in the boat and make the boat sink"
371,371, He drove up the stairs to the bedroom ,C,"A. Driving is faster than walking
B. He drives the car to buy some essentials in the bedroom
C. A car is too large to fit upstairs"
372,372, She put a motorcycle on the table. ,A,"A. A motorcycle is much larger than a table.
B. Motorcycles are usually red while the tables are brown.
C. he rides the motorcycle to buy a table"
373,373, cats eat dog food ,B,"A. cat food usually comes in a can
B. cats usually have cat food
C. a dog is usually bigger than a cat"
374,374, Film making can be a single job in the summer ,A,"A. Sinnicle does describe or compare to being stressful
B. Why does the polar bear love to sit and drink Coca-Cola
C. being a woman is like being a man"
375,375, He picked up his piano and played a chord ,A,"A. Pianos are heavy and can't easily be picked up
B. Pianos are fragile and easily break when touched
C. Chords cannot play the piano"
376,376, she puts hot grease into a cup ,C,"A. hot grease can be used to make cups
B. normally, water and hot grease cannot be mixed
C. the hot grease can destroy the paper cup"
377,377, The pot takes a variety of herbs for flavor. ,B,"A. Herbs can be grown on soil and recipes can be found online.
B. Herbs are to be added to the recipe rather than pot
C. Herbs and recipe books can be bought in stores."
378,378, Mary won the race tomorrow ,B,"A. Mary prepared a lot for the race
B. Tomorrow in the future and we can not know what will happen
C. The race is not available for Mary"
379,379, I watered the orange juice ,C,"A. the orange juice is too hot
B. she adds some water into the orange juice
C. the orange juice doesn't need to be watered"
380,380, Food gets hotter as you leave it out ,C,"A. Food needs to be stored in the refrigerator
B. heat makes food hotter
C. Being outside makes food cool down"
381,381, I wear my gloves on my feet. ,C,"A. You wear gloves and shoes.
B. Feet are a body part you put articles of clothing on.
C. gloves are not designed for feet."
382,382, Amy swam to Texas to see Austin ,C,"A. Swimming is good for health
B. Austin is the capital of Texas
C. Amy cannot swim to Texas"
383,383, Texas is snowing in the summer. ,A,"A. It never snows in the summertime of Texas.
B. Texas sometimes snows in the winter.
C. The winter in texas sometimes can be very warm."
384,384, smoking is good for health ,B,"A. it is forbidden to smoke indoors
B. cigarettes contain many chemicals that will affect your health
C. some young people think lighting cigarettes and smoking is cool"
385,385, They grabbed a dinosaur from the drawer. ,A,"A. A dinosaur wouldn't fit in a drawer.
B. A dinosaur is extinct while a drawer is a piece of furniture.
C. A dinosaur cannot reach a drawer."
386,386, Pigs lay eggs ,C,"A. Pigs are Carnivore.
B. Pigs are fat.
C. Pigs are mammals"
387,387, the sun comes from sunlight ,B,"A. the sunlight is usually strong in the summer
B. the sun produces the sunlight
C. the light of the moon comes from the sunlight"
388,388, The bike overtake the car ,B,"A. The bike has the same color as the bike
B. The car is faster than the bike
C. The bike don't need oil but the car does"
389,389, The doctor smashed the patient's broken bone. ,C,"A. The doctor was the patient.
B. The patient did not care about their broken bone.
C. A doctor's job is to heal."
390,390, a blue painting is floating in air ,C,"A. a float floats in water, not on a painting
B. a painting can only sink
C. paintings can not float in air"
391,391, Lotion is useful for moisturizing your tea. ,A,"A. Lotion is a skin product, not a food additive.
B. Tea is already wet so it doesn't need moisturizing.
C. Lotion is opaque while tea is translucent."
392,392, sitting on the barbed wire is more comfortable than sitting on a stool ,C,"A. stools are hard and don't have back support
B. barbed wire is used on the tops of fences
C. the barbed wire has spikes that will stab you, so sit on the barbed wire is dangerous"
393,393, The whale was found in the forest ,A,"A. Whales are aquatic and don't live in forests.
B. Whales don't like the smell of pine trees.
C. Whales can't swim on dry land."
394,394, You must eat lots of fats and sugar to stay healthy. ,C,"A. Health is wealth.
B. The food with fats and sugar is tasty good.
C. Fats and sugar make you unhealthy and unfit."
395,395, A diet high in sugar is mandatory ,C,"A. some people think that sugar is mandatory
B. It is impossible to only eat sugar every day
C. It is not mandatory in any country to eat a lot of sugar"
396,396, the clothes are running away ,A,"A. clothes can do nothing itself
B. he wears the clothes and runs away
C. he like to put on nice clothes"
397,397, The cheetah washed up on the beach ,A,"A. Cheetahs do not live in the ocean
B. Cheetahs are a type of cats
C. Cheetahs have spots on them"
398,398, Watching sports is fun for all people ,C,"A. Sports can be exciting to play.
B. Watching sports can be a way of learning them
C. Some people don't like watching sports"
399,399, You die twice. ,C,"A. In some stories, a cat can die for nine times
B. Many people are afraid of death
C. People can only die once and could not rebirth"
400,400, Broken glasses help you see better. ,B,"A. People should wear glasses when they have problems with their eyes
B. Broken glasses make it harder to see.
C. people should keep their glasses clean"
401,401, He answers a call on his banana. ,A,"A. A banana doesn't have the ability to make a call
B. He answers a call after eating a banana
C. He answers a call to buy bananas"
402,402, An airplane swims in the water. ,B,"A. An airplane does not have flippers to paddle in the water.
B. An airplane is designed to fly in the air.
C. An airplane did not evolve gills."
403,403, Elephants are the smallest land mammals. ,C,"A. Elephants is a wild animal.
B. There are different type of mammals, some live in water and some in land
C. There are many mammals smaller than elephant in land."
404,404, He swam in petrol ,B,"A. Petrol is liquid
B. No one swims in petrol
C. Petrol can burn"
405,405, Men are more intelligent than women ,A,"A. There is no evidence to prove that men are more intelligent than women
B. Men and women can collaborate
C. men and women belong to different genders"
406,406, She throws bananas at caretakers at the zoo all day. ,C,"A. Some people like bananas and some don't, and some people are even allergic to them.
B. Monkeys like bananas, but you can't feed them at most zoos for multiple reasons.
C. Someone would get kicked out for throwing bananas at people at the zoo"
407,407, People who start fires are pyromaniacs. ,B,"A. My ex is an idiot and he uses fires to barbecue.
B. There are correct ways to use fire; pyromaniacs use fires incorrectly.
C. Don't light a fire at Christmas or Santa won't be able to come down the chimney!"
408,408, He put a dinosaur into the pool ,A,"A. a dinosaur is extinct
B. dinosaurs are usually grey while pools are usually white
C. there is a dinosaur toy in the pool"
409,409, Girls are taller than boys on average ,C,"A. Girls wear high-heel shoes to make them much taller
B. Girls eat sweets at a higher rate to grow an extra 7 inches on average.
C. Boys general grow taller than girls"
410,410, Dory moves the desk with her fin. ,A,"A. Dory does not have fins because she is human.
B. Fish with fins can be known as the famous finding Nemo character Dory.
C. The desk is going to be used for to draw pictures of fish"
411,411, he put a piece of plastic on the bread ,B,"A. I don't like sliced bread in plastic bags
B. the plastic usually is toxic
C. some plastic is biodegradable"
412,412, People get fat during famines. ,B,"A. Food tastes better when you are in famines.
B. If you eat less you lose weight.
C. famines are happened in some countries now."
413,413, Planting salt in California contributes to providing more drinkable water for that area. ,A,"A. planting salt will not produce more drinkable water,  a desalination plant will
B. Desalinating water in California means people will drink more water.
C. Salt is necessary for daily diet"
414,414, my mother cooked the stone ,B,"A. stones do not cook
B. people can't eat stone
C. stones do not have mother"
415,415, You can use a Hospital to sleep while away from home ,C,"A. The hospitals are very noisy places
B. Hospitals are opened in the night
C. a Hospital is for sick people"
416,416, MY SISTER PREPARE A SANDWICHES WITH CHALKS. ,A,"A. USUALLY EVERYONE KNOW THAT CHALKS ARE HARMFUL TO EAT.
B. She use a chalk to write down what she want to eat tonight
C. CHALKS ALSO IN WHITE COLOR AND ITS POWDER MAKE US CONFUSED."
417,417, Puja almost works 25 to 30 hours every day. ,A,"A. Each day has only 24 hours.
B. 25 to 30 hours of extra work is needed for Puja.
C. Puja's watch run 25 to 30 hours every day."
418,418, Due to global warming the temperature becomes lower ,A,"A. Global warming is the process of raising the temperature
B. High temperature is dangerous to earth
C. global warming happens for a long time"
419,419, He parked his train in his house ,B,"A. Train is important transportation
B. A train is too large to be parked in a house
C. Parking is difficult in big cities"
420,420, He waited for his flight at the bus stop ,B,"A. He saw a plane flying in the sky when he was at the bus station
B. It is impossible to board a flight from the bus stop
C. The plane is larger than a bus"
421,421, Widow is an opening in the wall or roof of a building or vehicle ,B,"A. In city, there are many buildings and widows
B. Widow is a woman who has lost her husband
C. Different ages of widows can be seen in the city"
422,422, Children should eat their parents. ,B,"A. Children are most qualified to make household decisions.
B. Eating another person is cannibalism.
C. The definition of parent is ""someone who doesn't have children."""
423,423, there is some water eating on the lawn ,C,"A. water is always liquid and the lawn is always green
B. lawn cannot grow water
C. water can not eat"
424,424, a duck has two hands ,B,"A. a duck may be bigger than a hand
B. a duck only has feet and wings
C. I don't like eating duck wings"
425,425, The doctor failed medical school ,A,"A. If the doctor failed medical school, he isn't a doctor
B. The doctor is teaching in medical school
C. The doctor is afraid of cats in medical school"
426,426, The elephant is pink. ,B,"A. Elephants may sometimes eat pink food
B. he elephant is gray but not pink.
C. Elephants do not wear a pink dress"
427,427, She puts dirty clothes in the cabinet ,A,"A. people would like to keep clean but not dirty clothes in the cabinet
B. She doesn't like dirty clothes.
C. She loves to smell clean clothes and file them in the cabinet."
428,428, He borrowed a grinder from the library ,C,"A. Grinders are too heavy to carry
B. Grinders need the power to operate
C. A library is containing collections of books"
429,429, he added pepper to his coffee ,B,"A. pepper can dissolve in the coffee
B. pepper makes coffee too spicy to drink
C. coffee and pepper have different ingredients"
430,430, Dogs have hooves. ,B,"A. Dogs are mammals.
B. Dogs have paws.
C. Dogs can bark."
431,431, We don't communicate with each other at all ,A,"A. Communication s a vital aspect of life on earth
B. People communicate for many greedy reasons and some are cynical when they do.
C. Communication is at an all-time low with the advent of technology"
432,432, he put a hat inside of his head ,A,"A. a hat can't get through the skull into the head
B. hats are always colorful
C. hats can be bigger than heads"
433,433, He put all plates in the washing machine to clean ,C,"A. With soap, he can wash away plates easily
B. Without proper cleaning of plates he will get diarrhea
C. Usually washing machine can clean only clothes, plates are cleaned in the dishwasher"
434,434, You should iron your clothes before you wash them ,A,"A. Washing the clothes would wrinkle the clothes again
B. The iron should not be placed in the washing machine
C. Clothes should be washed or ironed"
435,435, he kept shoe in the fridge ,C,"A. fridge is more expensive than shoes
B. shoe is used to wear not for eating
C. shoe rack is used to keep all type of shoes"
436,436, Carol turned on the potato ,B,"A. Carol eats the potato
B. A potato can't be turned on
C. potatoes can be used to make electricity"
437,437, she got off the cruise ship at the crossroad ,C,"A. Cruise ships never stop
B. cruise ships don't have people on them
C. There are no crossroads in the sea"
438,438, he purchased lime and cement to prepare sandwiches for dinner ,A,"A. lime and cement has some inedible chemicals
B. general supermarkets don't sell lime and cement
C. cement is made from lime and limestone"
439,439, shirts are clothes that birds wear ,C,"A. clothes keep people warm
B. the birds eat worms
C. birds don't need clothes"
440,440, He wears an umbrella on his head. ,A,"A. People don't wear umbrellas on their heads.
B. Umbrellas are opened outside.
C. umbrella is made of plastic."
441,441, The sun is very cold. ,A,"A. The average temperature of the sun of 5.778 K can be considered hot.
B. The sun is often considered as being yellow.
C. Sun can melt cold ice"
442,442, he carried a whale in his car ,B,"A. he drove his car to see the whale
B. a whale is much bigger than his car
C. a whale can't drive his car"
443,443, He went to fishing in the Jeep to the desert. ,A,"A. fishing can be done on the lake only.
B. desert is full of sand
C. Jeep is used to commute on road"
444,444, the ripe apples taste spicy ,B,"A. I ate a ripe apple after having spicy food
B. apples have no spicy ingredients
C. the apples are very delicious"
445,445, the two-years-old baby drove her father daycare ,C,"A. the baby is curious about driving
B. the baby don't want to learn to drive
C. the baby isn't of age to drive"
446,446, I can drink bleach instead of water ,B,"A. I use bleach to clean the water in the pool
B. If you drink bleach you'll die because it's a chemical product
C. if you do not drink water, you'll die"
447,447, She went for a run on the Sun. ,B,"A. The Sun is on another planet
B. The Sun is too hot to run on.
C. The Sun is over 100,00 miles away."
448,448, the room is a nice place to jog ,C,"A. he likes to go jogging after leaving room
B. The room cannot jog
C. you cannot go jogging in a room"
449,449, The black owl is red ,B,"A. Large owls are usually black
B. If the owl is black then it cannot be read
C. black owls blend in with the night"
450,450," Yesterday, a dinosaur chased me. ",A,"A. There are no living dinosaurs.
B. Dinosaurs can't drive cars.
C. Dinosaurs never eat humans"
